ko,DEFINITION
K00001,E1.1.1.1, adh; alchl dehydrgenase [EC1.1.1.1]
K04051,yscG, sctG; type III secretin prtein G
K04052,yscH, sctH; type III secretin prtein H
K04053,yscI, sctI; type III secretin prtein I
K04054,yscK, sctK; type III secretin prtein K
K04055,yscM, sctM; type III secretin prtein M
K04056,yscO, sctO; type III secretin prtein O
K04057,yscP, sctP; type III secretin prtein P
K04058,yscW, sctW; type III secretin prtein W
K04059,yscX, sctX; type III secretin prtein X
K04060,yscY, sctY; type III secretin prtein Y
K04061,flhB2; flagellar bisynthesis prtein
K04062,smB; smtically inducible lipprtein OsmB
K04063,smC, hr; lipyl-dependent perxidase
K04064,smE; smtically inducible lipprtein OsmE
K04065,smY; hypersmtically inducible periplasmic prtein
K04066,priA; primsmal prtein N' (replicatin factr Y) (superfamily II helicase) [EC3.6.4.-]
K04067,priC; primsmal replicatin prtein N''
K04068,nrdG; anaerbic ribnucleside-triphsphate reductase activating prtein [EC1.97.1.4]
K04069,pflA, pflC, pflE; pyruvate frmate lyase activating enzyme [EC1.97.1.4]
K04070,pflX; putative pyruvate frmate lyase activating enzyme [EC1.97.1.4]
K04072,adhE; acetaldehyde dehydrgenase / alchl dehydrgenase [EC1.2.1.10 1.1.1.1]
K04073,mhpF; acetaldehyde dehydrgenase [EC1.2.1.10]
K04074,divIVA; cell divisin initiatin prtein
K04075,tilS, mesJ; tRNA(Ile)-lysidine synthase [EC6.3.4.19]
K04076,lnB; ATP-dependent Ln prtease [EC3.4.21.53]
K04077,grEL, HSPD1; chapernin GrEL
K04078,grES, HSPE1; chapernin GrES
K04079,HSP90A, htpG; mlecular chaperne HtpG
K04080,ibpA; mlecular chaperne IbpA
K04081,ibpB; mlecular chaperne IbpB
K04082,hscB, HSCB, HSC20; mlecular chaperne HscB
K04083,hslO; mlecular chaperne Hsp33
K04084,dsbD; thildisulfide interchange prtein DsbD [EC1.8.1.8]
K04085,tusA, sirA; tRNA 2-thiuridine synthesizing prtein A [EC2.8.1.-]
K04086,clpL; ATP-dependent Clp prtease ATP-binding subunit ClpL
K04087,hflC; mdulatr f FtsH prtease HflC
K04088,hflK; mdulatr f FtsH prtease HflK
K04090,E1.2.7.8; indlepyruvate ferredxin xidreductase [EC1.2.7.8]
K04091,ssuD; alanesulfnate mnxygenase [EC1.14.14.5]
K04092,tyrA1; chrismate mutase [EC5.4.99.5]
K04093,pheA1; chrismate mutase [EC5.4.99.5]
K04094,trmFO, gid; methylenetetrahydrflate--tRNA-(uracil-5-)-methyltransferase [EC2.1.1.74]
K04095,fic; cell filamentatin prtein
K04096,smf; DNA prcessing prtein
K04097,HPGDS; prstaglandin-H2 D-ismerase / glutathine transferase [EC5.3.99.2 2.5.1.18]
K04098,chqB; hydrxyquinl 1,2-dixygenase [EC1.13.11.37]
K04099,desB, galA; gallate dixygenase [EC1.13.11.57]
K04100,ligA; prtcatechuate 4,5-dixygenase, alpha chain [EC1.13.11.8]
K04101,ligB; prtcatechuate 4,5-dixygenase, beta chain [EC1.13.11.8]
K04102,pht5; 4,5-dihydrxyphthalate decarbxylase [EC4.1.1.55]
K04103,ipdC; indlepyruvate decarbxylase [EC4.1.1.74]
K04105,hbaA; 4-hydrxybenzate-CA ligase [EC6.2.1.27 6.2.1.25]
K04107,hcrC, hbaB; 4-hydrxybenzyl-CA reductase subunit gamma [EC1.3.7.9]
K04108,hcrA, hbaC; 4-hydrxybenzyl-CA reductase subunit alpha [EC1.3.7.9]
K04109,hcrB, hbaD; 4-hydrxybenzyl-CA reductase subunit beta [EC1.3.7.9]
K04110,badA; benzate-CA ligase [EC6.2.1.25]
K04112,bcrC, badD; benzyl-CA reductase subunit C [EC1.3.7.8]
K04113,bcrB, badE; benzyl-CA reductase subunit B [EC1.3.7.8]
K04114,bcrA, badF; benzyl-CA reductase subunit A [EC1.3.7.8]
K04115,bcrD, badG; benzyl-CA reductase subunit D [EC1.3.7.8]
K04116,aliA; cyclhexanecarbxylate-CA ligase [EC6.2.1.-]
K04117,aliB; cyclhexanecarbxyl-CA dehydrgenase [EC1.3.99.-]
K04118,E1.3.1.62; pimelyl-CA dehydrgenase [EC1.3.1.62]
K04119,AKR1C3; ald-et reductase family 1 member C3 [EC1.1.1.51 1.1.1.188 1.1.1.213 1.1.1.357]
K04120,E5.5.1.13; ent-cpalyl diphsphate synthase [EC5.5.1.13]
K04121,E4.2.3.19; ent-aurene synthase [EC4.2.3.19]
K04122,GA3, CYP701; ent-aurene xidase [EC1.14.14.86]
K04123,KAO; ent-aurenic acid mnxygenase [EC1.14.14.107]
K04124,E1.14.11.15; gibberellin 3beta-dixygenase [EC1.14.11.15]
K04125,E1.14.11.13; gibberellin 2beta-dixygenase [EC1.14.11.13]
K04126,PCBC; ispenicillin-N synthase [EC1.21.3.1]
K04127,cefD; ispenicillin-N epimerase [EC5.1.1.17]
K04128,cmcH; hydrxymethyl cephem carbamyltransferase [EC2.1.3.7]
K04129,CHRM1; muscarinic acetylchline receptr M1
K04130,CHRM2; muscarinic acetylchline receptr M2
K04131,CHRM3; muscarinic acetylchline receptr M3
K04132,CHRM4; muscarinic acetylchline receptr M4
K04133,CHRM5; muscarinic acetylchline receptr M5
K04134,CHRMN; muscarinic acetylchline receptr
K04135,ADRA1A; adrenergic receptr alpha-1A
K04136,ADRA1B; adrenergic receptr alpha-1B
K04137,ADRA1D; adrenergic receptr alpha-1D
K04138,ADRA2A; adrenergic receptr alpha-2A
K04139,ADRA2B; adrenergic receptr alpha-2B
K04140,ADRA2C; adrenergic receptr alpha-2C
K04141,ADRB1; adrenergic receptr beta-1
K04142,ADRB2; adrenergic receptr beta-2
K04143,ADRB3; adrenergic receptr beta-3
K04144,DRD1; dpamine receptr D1
K04145,DRD2; dpamine receptr D2
K04146,DRD3; dpamine receptr D3
K04147,DRD4; dpamine receptr D4
K04148,DRD1N; dpamine receptr D1-lie
K04149,HRH1; histamine receptr H1
K04150,HRH2; histamine receptr H2
K04151,HRH3; histamine receptr H3
K04152,HRH4; histamine receptr H4
K04153,HTR1; 5-hydrxytryptamine receptr 1
K04157,HTR2; 5-hydrxytryptamine receptr 2
K04160,HTR4; 5-hydrxytryptamine receptr 4
K04161,HTR5; 5-hydrxytryptamine receptr 5
K04162,HTR6; 5-hydrxytryptamine receptr 6
K04163,HTR7; 5-hydrxytryptamine receptr 7
K04165,Oamb; ctpamine receptr
K04166,AGTR1; angitensin II receptr type 1
K04167,AGTR2; angitensin II receptr type 2
K04168,NMBR; neurmedin B receptr
K04169,GRPR; gastrin-releasing peptide receptr
K04170,BRS3; bmbesin receptr subtype-3
K04171,C5AR2, GPR77; C5a anaphylatxin chemtactic receptr 2
K04172,FPR1; frmyl peptide receptr 1
K04173,FPRL; frmyl peptide receptr-lie
K04174,APLNR; apelin receptr
K04175,CXCR1, IL8RA, CD181; C-X-C chemine receptr type 1
K04176,CCR1, CD191; C-C chemine receptr type 1
K04177,CCR2, CD192; C-C chemine receptr type 2
K04178,CCR3, CD193; C-C chemine receptr type 3
K04179,CCR4, CD194; C-C chemine receptr type 4
K04180,CCR5, CD195; C-C chemine receptr type 5
K04181,CCR6, CD196; C-C chemine receptr type 6
K04182,CCR7, CD197; C-C chemine receptr type 7
K04183,CCR8, CDw198; C-C chemine receptr type 8
K04184,CCR9, CDw199; C-C chemine receptr type 9
K04185,CCR10; C-C chemine receptr type 10
K04186,ACKR4, CCRL1, CCR11; atypical chemine receptr 4
K04187,ACKR2, CCBP2; atypical chemine receptr 2
K04188,CXCR3, GPR9, CD183; C-X-C chemine receptr type 3
K04189,CXCR4, CD184; C-X-C chemine receptr type 4
K04190,CXCR5, BLR1, CD185; C-X-C chemine receptr type 5
K04191,CXCR6, CD186; C-X-C chemine receptr type 6
K04192,CX3CR1; CX3C chemine receptr 1
K04193,XCR1; XC chemine receptr 1
K04194,CCKAR; chlecystinin A receptr
K04195,CCKBR; chlecystinin B receptr
K04197,EDNRA; endthelin receptr type A
K04198,EDNRB; endthelin receptr type B
K04199,MC1R; melancrtin 1 receptr
K04200,MC2R; melancrtin 2 receptr
K04201,MC3R; melancrtin 3 receptr
K04202,MC4R; melancrtin 4 receptr
K04203,MC5R; melancrtin 5 receptr
K04204,NPY1R; neurpeptide Y receptr type 1
K04205,NPY2R; neurpeptide Y receptr type 2
K04206,NPY4R; neurpeptide Y receptr type 4
K04207,NPY5R; neurpeptide Y receptr type 5
K04208,NPY6R; neurpeptide Y receptr type 6
K04209,NPFR; neurpeptide F receptr
K04210,GPR83, GPR72; G prtein-cupled receptr 83
K04211,NTSR1; neurtensin receptr 1
K04212,NTSR2; neurtensin receptr 2
K04213,OPRD1; delta-type piid receptr
K04214,OPRK1; appa-type piid receptr
K04215,OPRM1; mu-type piid receptr
K04216,OPRL1; nciceptin receptr
K04217,SSTR1; smatstatin receptr 1
K04218,SSTR2; smatstatin receptr 2
K04219,SSTR3; smatstatin receptr 3
K04220,SSTR4; smatstatin receptr 4
K04221,SSTR5; smatstatin receptr 5
K04222,TACR1; tachyinin receptr 1
K04223,TACR2; tachyinin receptr 2
K04224,TACR3; tachyinin receptr 3
K04226,AVPR1A; arginine vaspressin receptr 1A
K04227,AVPR1B; arginine vaspressin receptr 1B
K04228,AVPR2; arginine vaspressin receptr 2
K04229,OXTR; xytcin receptr
K04230,GALR1; galanin receptr 1
K04231,GALR2; galanin receptr 2
K04232,GALR3; galanin receptr 3
K04233,ASTA-R; allatstatin A receptr
K04234,F2RL1, PAR2; cagulatin factr II (thrmbin) receptr-lie 1
K04235,F2RL2, PAR3; cagulatin factr II (thrmbin) receptr-lie 2
K04236,F2RL3, PAR4; cagulatin factr II (thrmbin) receptr-lie 3
K04237,PARD3; partitining defective prtein 3
K04238,HCRTR1; hypcretin (rexin) receptr 1
K04239,HCRTR2; hypcretin (rexin) receptr 2
K04240,NPFFR1; neurpeptide FF receptr 1
K04241,UTS2R; urtensin 2 receptr
K04242,ADMR; adrenmedullin receptr
K04243,GPR37; prsapsin receptr
K04244,GPR37L1, ETBRLP2; prsapsin receptr
K04245,CMKLR1; chemine-lie receptr 1
K04246,GPER1, GPR30; G-prtein cupled estrgen receptr 1
K04247,FSHR; fllicle stimulating hrmne receptr
K04248,LHCGR; lutrpin-chrignadtrpic hrmne receptr
K04249,TSHR; thyrtrpin receptr
K04250,RHO, OPN2; rhdpsin
K04251,OPN1LW, OPN1MW; lng/medium wavelength-sensitive psin
K04252,OPN1SW; shrt wavelength-sensitive psin
K04253,RRH; visual pigment-lie receptr perpsin
K04254,RGR; retinal G prtein cupled receptr
K04255,OPN4, Rh2_7; r-psin
K04256,OPN3; c-psin
K04257,OLFR; lfactry receptr
K04258,PTGER1; prstaglandin E receptr 1
K04259,PTGER2; prstaglandin E receptr 2
K04260,PTGER3; prstaglandin E receptr 3
K04261,PTGER4; prstaglandin E receptr 4
K04262,PTGFR; prstaglandin F receptr
K04263,PTGIR; prstacyclin receptr
K04264,TBXA2R; thrmbxane A2 receptr
K04265,ADORA1; adensine receptr A1
K04266,ADORA2A, ADOR; adensine receptr A2a
K04267,ADORA2B; adensine receptr A2b
K04268,ADORA3; adensine receptr A3
K04269,P2RY2; P2Y purinceptr 2
K04270,P2RY1; P2Y purinceptr 1
K04271,P2RY4; P2Y purinceptr 4
K04272,P2RY6; P2Y purinceptr 6
K04273,LPAR6, P2RY5; lysphsphatidic acid receptr 6
K04274,P2RY10; P2Y purinceptr 10
K04275,LPAR4, GPR23; lysphsphatidic acid receptr 4
K04276,CXCR8, GPR35; C-X-C chemine receptr type 8
K04277,CNR1; cannabinid receptr 1
K04278,CNR2; cannabinid receptr 2
K04279,PTAFR; platelet-activating factr receptr
K04280,GNRHR; gnadtrpin-releasing hrmne receptr
K04281,CAST; calpastatin
K04282,TRHR; thyrtrpin-releasing hrmne receptr
K04283,TRYR; trypanthine-disulfide reductase [EC1.8.1.12]
K04284,GHSR; grwth hrmne secretaggue receptr
K04285,MTNR1A; melatnin receptr type 1A
K04286,MTNR1B; melatnin receptr type 1B
K04287,GPR50; G prtein-cupled receptr 50
K04288,S1PR1, EDG1, CD363; sphingsine 1-phsphate receptr 1
K04289,LPAR1, EDG2; lysphsphatidic acid receptr 1
K04290,S1PR3, EDG3; sphingsine 1-phsphate receptr 3
K04291,LPAR2, EDG4; lysphsphatidic acid receptr 2
K04292,S1PR2, EDG5; sphingsine 1-phsphate receptr 2
K04293,S1PR4, EDG6; sphingsine 1-phsphate receptr 4
K04294,LPAR3, EDG7; lysphsphatidic acid receptr 3
K04295,S1PR5, EDG8; sphingsine 1-phsphate receptr 5
K04296,LTB4R1; leutriene B4 receptr 1
K04297,LTB4R2; leutriene B4 receptr 2
K04298,P2RY12; P2Y purinceptr 12
K04299,P2RY14; P2Y purinceptr 14
K04300,SREB3, GPR173; super cnserved receptr expressed in brain 3
K04301,SREB1, GPR27; super cnserved receptr expressed in brain 1
K04302,SREB2, GPR85; super cnserved receptr expressed in brain 2
K04303,MAS1; prt-ncgene Mas
K04304,CXCR7, ACKR3, RDC1; C-X-C chemine receptr type 7 (atypical chemine receptr 3)
K04305,EBI2; Epstein-Barr virus induced gene 2
K04306,RXFP1, LGR7; relaxin family peptide receptr 1
K04307,RXFP2, LGR8; relaxin family peptide receptr 2
K04308,LGR5, GPR49; leucine-rich repeat-cntaining G prtein-cupled receptr 5
K04309,LGR4, GPR48; leucine-rich repeat-cntaining G prtein-cupled receptr 4
K04310,GPR1; G prtein-cupled receptr 1
K04311,GPR3; G prtein-cupled receptr 3
K04312,GPR4; G prtein-cupled receptr 4
K04313,GPR6; G prtein-cupled receptr 6
K04314,PRLHR, GPR10; prlactin releasing hrmne receptr
K04315,GPR12; G prtein-cupled receptr 12
K04316,GPR19; G prtein-cupled receptr 19
K04317,GPR20; G prtein-cupled receptr 20
K04318,GPR21; G prtein-cupled receptr 21
K04319,GPR22; G prtein-cupled receptr 22
K04320,MCHR1; melanin-cncentrating hrmne receptr 1
K04321,GPR63; G prtein-cupled receptr 63
K04322,CYSLTR1; cysteinyl leutriene receptr 1
K04323,CYSLTR2; cysteinyl leutriene receptr 2
K04324,MAS1L; Mas-related G-prtein cupled receptr MRG
K04325,FFAR1, GPR40; free fatty acid receptr 1
K04326,FFAR3, GPR41; free fatty acid receptr 3
K04328,FFAR2, GPR43; free fatty acid receptr 2
K04332,PTGDR; prstaglandin D2 receptr
K04333,csgD; LuxR family transcriptinal regulatr, csgAB pern transcriptinal regulatry prtein
K04334,csgA; majr curlin subunit
K04335,csgB; minr curlin subunit
K04336,csgC; curli prductin prtein
K04337,csgE; curli prductin assembly/transprt cmpnent CsgE
K04338,csgF; curli prductin assembly/transprt cmpnent CsgF
K04339,stsE; scyll-insamine 4-inase [EC2.7.1.65]
K04340,strB1; scyll-insamine-4-phsphate amidintransferase 1 [EC2.1.4.2]
K04341,E2.4.2.27; dTDP-dihydrstreptse-streptidine-6-phsphate dihydrstreptsyltransferase [EC2.4.2.27]
K04342,strK; streptmycin-6-phsphatase [EC3.1.3.39]
K04343,strB; streptmycin 6-inase [EC2.7.1.72]
K04344,CACNA1A, CAV2.1; vltage-dependent calcium channel P/Q type alpha-1A
K04345,PKA; prtein inase A [EC2.7.11.11]
K04346,GNA12; guanine nucletide-binding prtein subunit alpha-12
K04347,GNG12; guanine nucletide-binding prtein G(I)/G(S)/G(O) subunit gamma-12
K04348,PPP3C, CNA; serine/threnine-prtein phsphatase 2B catalytic subunit [EC3.1.3.16]
K04349,RASGRF1; Ras-specific guanine nucletide-releasing factr 1
K04350,RASGRP1; RAS guanyl-releasing prtein 1
K04351,RAPGEF4, EPAC2; Rap guanine nucletide exchange factr 4
K04352,RASA1, RASGAP; Ras GTPase-activating prtein 1
K04353,RAP1A; Ras-related prtein Rap-1A
K04354,PPP2R2; serine/threnine-prtein phsphatase 2A regulatry subunit B
K04355,BDNF; brain-derived neurtrphic factr
K04356,NTF3; neurtrphin 3
K04357,EGF; epidermal grwth factr
K04358,FGF; fibrblast grwth factr
K04359,PDGFA; platelet-derived grwth factr subunit A
K04360,NTRK2, TRKB; neurtrphic tyrsine inase receptr type 2 [EC2.7.10.1]
K04361,EGFR, ERBB1; epidermal grwth factr receptr [EC2.7.10.1]
K04362,FGFR1, CD331; fibrblast grwth factr receptr 1 [EC2.7.10.1]
K04363,PDGFRA, CD140A; platelet-derived grwth factr receptr alpha [EC2.7.10.1]
K04364,GRB2; grwth factr receptr-binding prtein 2
K04365,BRAF; B-Raf prt-ncgene serine/threnine-prtein inase [EC2.7.11.1]
K04366,RAF1; RAF prt-ncgene serine/threnine-prtein inase [EC2.7.11.1]
K04367,MOS; prt-ncgene serine/threnine-prtein inase ms [EC2.7.11.1]
K04368,MAP2K1, MEK1; mitgen-activated prtein inase inase 1 [EC2.7.12.2]
K04369,MAP2K2, MEK2; mitgen-activated prtein inase inase 2 [EC2.7.12.2]
K04370,LAMTOR3, MP1, MAP2K1IP1; ragulatr cmplex prtein LAMTOR3
K04371,ERK, MAPK1_3; mitgen-activated prtein inase 1/3 [EC2.7.11.24]
K04372,MKNK, MNK; MAP inase interacting serine/threnine inase [EC2.7.11.1]
K04373,RPS6KA; ribsmal prtein S6 inase alpha-1/2/3/6 [EC2.7.11.1]
K04374,ATF4, CREB2; cyclic AMP-dependent transcriptin factr ATF-4
K04375,ELK1; ETS dmain-cntaining prtein El-1
K04376,ELK4, SAP1; ETS dmain-cntaining prtein El-4
K04377,MYC; Myc prt-ncgene prtein
K04378,SRF; serum respnse factr
K04379,FOS; prt-ncgene prtein c-fs
K04380,MAPT, TAU; micrtubule-assciated prtein tau
K04381,STMN1; stathmin
K04382,PPP2C; serine/threnine-prtein phsphatase 2A catalytic subunit [EC3.1.3.16]
K04383,IL1A; interleuin 1 alpha
K04384,TGFBN; transfrming grwth factr beta, invertebrate
K04385,AXIN2; axin 2
K04386,IL1R1, CD121a; interleuin 1 receptr type I
K04387,IL1R2, CD121b; interleuin 1 receptr type II
K04388,TGFBR2; TGF-beta receptr type-2 [EC2.7.11.30]
K04389,TNFSF6, FASL, CD178; tumr necrsis factr ligand superfamily member 6
K04390,TNFRSF6, FAS, CD95; tumr necrsis factr receptr superfamily member 6
K04391,CD14; mncyte differentiatin antigen CD14
K04392,RAC1; Ras-related C3 btulinum txin substrate 1
K04393,CDC42; cell divisin cntrl prtein 42
K04394,CASP4, CASP11; caspase 4 [EC3.4.22.57 3.4.22.64]
K04395,CASP5; caspase 5 [EC3.4.22.58]
K04396,CASP6; caspase 6 [EC3.4.22.59]
K04397,CASP7; caspase 7 [EC3.4.22.60]
K04398,CASP8; caspase 8 [EC3.4.22.61]
K04399,CASP9; caspase 9 [EC3.4.22.62]
K04400,CASP10; caspase 10 [EC3.4.22.63]
K04401,CASP14; caspase 14 [EC3.4.22.-]
K04402,GADD45; grwth arrest and DNA-damage-inducible prtein
K04403,MAP3K7IP1, TAB1; TAK1-binding prtein 1
K04404,MAP3K7IP2, TAB2; TAK1-binding prtein 2
K04405,ECSIT; evlutinarily cnserved signaling intermediate in Tll pathway
K04406,MAP4K3, GLK; mitgen-activated prtein inase inase inase inase 3 [EC2.7.11.1]
K04407,MAP4K4, HGK; mitgen-activated prtein inase inase inase inase 4 [EC2.7.11.1]
K04408,MAP4K1, HPK1; mitgen-activated prtein inase inase inase inase 1 [EC2.7.11.1]
K04409,PAK1; p21-activated inase 1 [EC2.7.11.1]
K04410,PAK2; p21-activated inase 2 [EC2.7.11.1]
K04411,STK4, MST1; serine/threnine inase 4
K04412,STK3, MST2; serine/threnine inase 3
K04413,MINK; misshapen/NIK-related inase [EC2.7.11.1]
K04414,MAP4K2, GCK; mitgen-activated prtein inase inase inase inase 2 [EC2.7.11.1]
K04415,MAP3K8, COT; mitgen-activated prtein inase inase inase 8 [EC2.7.11.25]
K04416,MAP3K1, MEKK1; mitgen-activated prtein inase inase inase 1 [EC2.7.11.25]
K04417,MAP3K9, MLK1; mitgen-activated prtein inase inase inase 9 [EC2.7.11.25]
K04418,MAP3K10, MLK2; mitgen-activated prtein inase inase inase 10 [EC2.7.11.25]
K04419,MAP3K11, MLK3; mitgen-activated prtein inase inase inase 11 [EC2.7.11.25]
K04420,MAP3K2, MEKK2; mitgen-activated prtein inase inase inase 2 [EC2.7.11.25]
K04421,MAP3K3, MEKK3; mitgen-activated prtein inase inase inase 3 [EC2.7.11.25]
K04422,MAP3K13, LZK; mitgen-activated prtein inase inase inase 13 [EC2.7.11.25]
K04423,MAP3K12, MUK; mitgen-activated prtein inase inase inase 12 [EC2.7.11.25]
K04424,ZAK, MLTK; sterile alpha mtif and leucine zipper cntaining inase AZK [EC2.7.11.25]
K04425,MAP3K6, ASK2; mitgen-activated prtein inase inase inase 6 [EC2.7.11.25]
K04426,MAP3K5, ASK1; mitgen-activated prtein inase inase inase 5 [EC2.7.11.25]
K04427,MAP3K7, TAK1; mitgen-activated prtein inase inase inase 7 [EC2.7.11.25]
K04428,MAP3K4, MEKK4; mitgen-activated prtein inase inase inase 4 [EC2.7.11.25]
K04429,TAO; thusand and ne amin acid prtein inase [EC2.7.11.1]
K04430,MAP2K4, MKK4; mitgen-activated prtein inase inase 4 [EC2.7.12.2]
K04431,MAP2K7, MKK7; mitgen-activated prtein inase inase 7 [EC2.7.12.2]
K04432,MAP2K3, MKK3; mitgen-activated prtein inase inase 3 [EC2.7.12.2]
K04433,MAP2K6, MKK6; mitgen-activated prtein inase inase 6 [EC2.7.12.2]
K04434,MAPK8IP1, JIP1; mitgen-activated prtein inase 8 interacting prtein 1
K04435,MAPK8IP2, JIP2; mitgen-activated prtein inase 8 interacting prtein 2
K04436,MAPK8IP3, JIP3; mitgen-activated prtein inase 8 interacting prtein 3
K04437,FLNA; filamin
K04438,CRK, CRKII; prt-ncgene C-cr
K04439,ARRB; beta-arrestin
K04440,JNK; mitgen-activated prtein inase 8/9/10 (c-Jun N-terminal inase) [EC2.7.11.24]
K04441,P38; p38 MAP inase [EC2.7.11.24]
K04442,MAPKAPK5, PRAK; mitgen-activated prtein inase-activated prtein inase 5 [EC2.7.11.1]
K04443,MAPKAPK2; mitgen-activated prtein inase-activated prtein inase 2 [EC2.7.11.1]
K04444,MAPKAPK3; mitgen-activated prtein inase-activated prtein inase 3 [EC2.7.11.1]
K04445,RPS6KA5, MSK1; ribsmal prtein S6 inase alpha-5 [EC2.7.11.1]
K04446,NFATC1, NFAT2, NFATC; nuclear factr f activated T-cells, cytplasmic 1
K04447,JAK2; Janus inase 2 [EC2.7.10.2]
K04448,JUN; transcriptin factr AP-1
K04449,JUND; transcriptin factr jun-D
K04450,ATF2, CREBP1; cyclic AMP-dependent transcriptin factr ATF-2
K04451,TP53, P53; tumr prtein p53
K04452,DDIT3, GADD153; DNA damage-inducible transcript 3
K04453,MAX; Max prtein
K04454,MEF2C; MADS-bx transcriptin enhancer factr 2C
K04455,HSPB1; heat shc prtein beta-1
K04456,AKT; RAC serine/threnine-prtein inase [EC2.7.11.1]
K04457,PPM1A, PP2CA; prtein phsphatase 1A [EC3.1.3.16]
K04458,PTPRR; receptr-type tyrsine-prtein phsphatase R [EC3.1.3.48]
K04459,DUSP, MKP; dual specificity MAP inase phsphatase [EC3.1.3.16 3.1.3.48]
K04460,PPP5C; serine/threnine-prtein phsphatase 5 [EC3.1.3.16]
K04461,PPM1B, PP2CB; prtein phsphatase 1B [EC3.1.3.16]
K04462,MECOM, EVI1; ectrpic virus integratin site 1 prtein
K04463,MAP2K5, MEK5; mitgen-activated prtein inase inase 5 [EC2.7.12.2]
K04464,MAPK7; mitgen-activated prtein inase 7 [EC2.7.11.24]
K04465,NR4A1, HMR; nuclear receptr subfamily 4 grup A member 1
K04466,MAP3K14, NIK; mitgen-activated prtein inase inase inase 14 [EC2.7.11.25]
K04467,IKBKA, IKKA, CHUK; inhibitr f nuclear factr appa-B inase subunit alpha [EC2.7.11.10]
K04468,NLK; nem lie inase [EC2.7.11.24]
K04469,NFKB2; nuclear factr f appa light plypeptide gene enhancer in B-cells 2
K04477,ycdX; putative hydrlase
K04478,sgtB; mnfunctinal glycsyltransferase [EC2.4.1.129]
K04479,dbh; DNA plymerase IV (archaeal DinB-lie DNA plymerase) [EC2.7.7.7]
K04480,mtaB; methanl---5-hydrxybenzimidazlylcbamide C-methyltransferase [EC2.1.1.90]
K04482,RAD51; DNA repair prtein RAD51
K04483,radA; DNA repair prtein RadA
K04484,radB; DNA repair prtein RadB
K04485,radA, sms; DNA repair prtein RadA/Sms
K04486,E3.1.3.15B; histidinl-phsphatase (PHP family) [EC3.1.3.15]
K04487,iscS, NFS1; cysteine desulfurase [EC2.8.1.7]
K04488,iscU, nifU; nitrgen fixatin prtein NifU and related prteins
K04489,CASPN; caspase invertebrate [EC3.4.22.-]
K04490,TCF7L1; transcriptin factr 7-lie 1
K04491,TCF7L2; transcriptin factr 7-lie 2
K04492,LEF1; lymphid enhancer-binding factr 1
K04493,ICAT, CTNNBIP1; beta-catenin-interacting prtein 1 (inhibitr f beta-catenin and Tcf-4)
K04494,CHD8, HELSNF1; chrmdmain helicase DNA binding prtein 8 [EC3.6.4.12]
K04495,SOX17; transcriptin factr SOX17 (SOX grup F)
K04496,CTBP; C-terminal binding prtein
K04497,GROUCHO; gruch
K04498,EP300, CREBBP, KAT3; E1A/CREB-binding prtein [EC2.3.1.48]
K04499,RUVBL1, RVB1, INO80H; RuvB-lie prtein 1 (pntin 52)
K04500,SMAD2; mthers against decapentaplegic hmlg 2
K04501,SMAD4; mthers against decapentaplegic hmlg 4
K04502,FOSL1; fs-lie antigen 1
K04503,CCND1; G1/S-specific cyclin-D1
K04504,NR1C2, PPARD; perxisme prliferatr-activated receptr delta
K04505,PSEN1, PS1; presenilin 1 [EC3.4.23.-]
K04506,SIAH1; E3 ubiquitin-prtein ligase SIAH1 [EC2.3.2.27]
K04507,CACYBP, SIP; calcyclin binding prtein
K04508,TBL1; transducin (beta)-lie 1
K04510,VANGL; vang-lie
K04511,PRICKLE; pricle
K04512,DAAM; dishevelled assciated activatr f mrphgenesis
K04513,RHOA; Ras hmlg gene family, member A
K04514,ROCK1; Rh-assciated prtein inase 1 [EC2.7.11.1]
K04515,CAMK2; calcium/calmdulin-dependent prtein inase (CaM inase) II [EC2.7.11.17]
K04516,AROA1, arA; chrismate mutase [EC5.4.99.5]
K04517,tyrA2; prephenate dehydrgenase [EC1.3.1.12]
K04518,pheA2; prephenate dehydratase [EC4.2.1.51]
K04519,IL1B; interleuin 1 beta
K04520,APP; amylid beta A4 prtein
K04521,BACE1; beta-site APP-cleaving enzyme 1 (memapsin 2) [EC3.4.23.46]
K04522,PSEN2, PS2; presenilin 2 [EC3.4.23.-]
K04523,UBQLN, DSK2; ubiquilin
K04524,APOE; aplipprtein E
K04525,SERPINA; serpin A
K04526,INS; insulin
K04527,INSR, CD220; insulin receptr [EC2.7.10.1]
K04528,SNCA; alpha-synuclein
K04529,APBB1, FE65; amylid beta A4 precursr prtein-binding family B member 1
K04530,APBB2, FE65L; amylid beta A4 precursr prtein-binding family B member 2
K04531,APBA1, X11; amylid beta A4 precursr prtein-binding family A member 1
K04532,NAE1, APPBP1; amylid beta precursr prtein binding prtein 1
K04533,HD; huntingtin
K04534,GNAO, G-ALPHA-O; guanine nucletide-binding prtein G() subunit alpha
K04535,GNAZ; guanine nucletide-binding prtein G(z) subunit alpha
K04536,GNB1; guanine nucletide-binding prtein G(I)/G(S)/G(T) subunit beta-1
K04537,GNB2; guanine nucletide-binding prtein G(I)/G(S)/G(T) subunit beta-2
K04538,GNB4; guanine nucletide-binding prtein subunit beta-4
K04539,GNB5; guanine nucletide-binding prtein subunit beta-5
K04540,GNG3; guanine nucletide-binding prtein G(I)/G(S)/G(O) subunit gamma-3
